nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Chrysant Home BQ Tipe D Kelapa Gading Jakarta Utara,1000000,4.0,1.211691244017684,campur,1,0,0,1,1,0,0,1
Kost Chrysant Home BQ Tipe B Kelapa Gading Jakarta Utara,1200000,9.0,1.240622338444608,campur,1,0,0,1,1,0,0,1
Kost Asya Tipe B Kelapa Gading Jakarta Utara,1650000,9.0,0.7377938084738008,campur,1,0,1,1,1,0,0,0
Kost Nyaman Kelapa Gading Jakarta Utara,1499999,9.0,1.915264829667697,campur,1,1,0,1,1,1,0,1
Kost Singgahsini Summagung Tipe B Kelapa Gading Jakarta Utara,1645000,8.75,1.2393379013188806,campur,1,1,1,1,1,0,0,0
Kost Janur Kuning Silver Kelapa Gading Jakarta Utara,1350000,9.0,0.5492687743333675,campur,1,0,0,1,1,0,1,1
Kost Gading Boulevard Tipe C Kelapa Gading Jakarta Utara,1050000,5.0,0.6939055524596456,campur,1,0,0,1,1,1,1,1
Kost V 1 Sunter Standard Plus Tanjung Priok Jakarta Utara,1800000,12.5,2.6911733256430392,campur,1,0,0,1,1,0,1,1
Kost Gading Boulevard Tipe B Kelapa Gading Jakarta Utara,1475000,7.5,1.1261966863217872,campur,1,0,0,1,1,1,1,1
Kost Kelapa Puan Timur Tipe Colorful Kelapa Gading Jakarta Utara,695000,5.0,1.0646564331835884,putri,1,0,0,1,1,1,0,1
Kost Kelapa Puan Timur Tipe C Kelapa Gading Jakarta Utara,695000,5.0,1.0646564329865371,putri,1,0,0,1,1,1,0,1
Kost Musik Raya Tipe D Kelapa Gading Jakarta Utara,900000,6.0,1.5642585239721936,campur,1,0,0,1,1,1,0,0
Kost Eksekutif Nyaman Tipe B Kelapa Gading Jakarta Utara,1500000,9.0,1.0126127991383052,campur,1,1,0,1,1,0,0,1
Kost Pandawa Lima Tipe B Kelapa Gading Jakarta Utara,1650000,9.0,1.5936576707813517,campur,1,1,0,1,1,1,1,0
Kost Kelapa Puan Timur Tipe Harmony Kelapa Gading Jakarta Utara,695000,4.0,1.0646564331835884,putri,1,0,0,1,1,1,0,1
Kost Premium Gading Putih Tipe 3 Kelapa Gading Jakarta Utara,1500000,5.75,1.5731559686524317,campur,1,0,1,1,1,0,0,1
Kost Permata Biru Kelapa Gading Jakarta Utara,2000000,12.0,1.3341943721190956,campur,1,1,1,1,1,0,0,0
Kost Oma Ida Tipe B Kelapa Gading Jakarta Utara,1300000,9.0,0.3657737767293451,campur,1,0,0,1,1,1,1,1
Kost Gading Surya Tipe Nice Room Kelapa Gading Jakarta Utara,850000,5.0,0.9715020715256908,campur,1,0,0,0,1,1,0,0
Kost Mimi Tipe D kelapa Gading Jakarta Utara,1900000,9.0,1.6996831466953453,putri,1,0,1,1,1,0,1,0
Kost Diva Tipe B Pulo Gadung Jakarta Timur,1100000,9.0,2.625188495949493,campur,1,0,0,1,1,0,1,0
Kost Gading Residence Tipe Executive Kelapa Gading Jakarta Utara,3500000,21.0,2.0721246741142187,campur,1,1,1,1,1,0,1,1
Kost Gading Surya Tipe Complete Room Kelapa Gading Jakarta Utara,950000,6.0,0.9715020715256908,campur,1,0,0,1,1,1,0,0
Kost Gading Molek Kelapa Gading Jakarta Utara,1400000,9.0,1.4197540466831111,campur,1,0,0,1,1,0,0,1
